S_LH_ID,S_LH_x,S_LH_y,S_RH_ID,S_RH_x,S_RH_y,S_LF_ID,S_LF_x,S_LF_y,S_RF_ID,S_RF_x,S_RF_y,A_Limb,A_Target_ID,A_Target_x,A_Target_y,Reward,S_Prime_LH_ID,S_Prime_LH_x,S_Prime_LH_y,S_Prime_RH_ID,S_Prime_RH_x,S_Prime_RH_y,S_Prime_LF_ID,S_Prime_LF_x,S_Prime_LF_y,S_Prime_RF_ID,S_Prime_RF_x,S_Prime_RF_y
1149,72,40,1149,72,40,1096,56,16,1113,56,24,RF,1166,72,48,44.801201923076924,1149,72,40,1149,72,40,1096,56,16,1166,72,48
1149,72,40,1149,72,40,1096,56,16,1166,72,48,RH,1200,72,64,44.80173611111111,1149,72,40,1200,72,64,1096,56,16,1166,72,48
1149,72,40,1200,72,64,1096,56,16,1166,72,48,RH,1236,88,80,43.201953125,1149,72,40,1236,88,80,1096,56,16,1166,72,48
1149,72,40,1236,88,80,1096,56,16,1166,72,48,RF,1200,72,64,123.20390625,1149,72,40,1236,88,80,1096,56,16,1200,72,64
1149,72,40,1236,88,80,1096,56,16,1200,72,64,RF,1253,88,88,244.80120192307692,1149,72,40,1236,88,80,1096,56,16,1253,88,88
1149,72,40,1236,88,80,1096,56,16,1253,88,88,RH,1270,88,96,243.20390625,1149,72,40,1270,88,96,1096,56,16,1253,88,88
1149,72,40,1270,88,96,1096,56,16,1253,88,88,LF,1131,64,32,243.203125,1149,72,40,1270,88,96,1131,64,32,1253,88,88
1149,72,40,1270,88,96,1131,64,32,1253,88,88,RH,1306,104,112,243.201953125,1149,72,40,1306,104,112,1131,64,32,1253,88,88
1149,72,40,1306,104,112,1131,64,32,1253,88,88,RF,1270,88,96,281.615625,1149,72,40,1306,104,112,1131,64,32,1270,88,96
1149,72,40,1306,104,112,1131,64,32,1270,88,96,RH,1358,112,136,284.8015625,1149,72,40,1358,112,136,1131,64,32,1270,88,96
1149,72,40,1149,72,40,1096,56,16,1113,56,24,RF,1166,72,48,44.801201923076924,1149,72,40,1149,72,40,1096,56,16,1166,72,48
1149,72,40,1149,72,40,1096,56,16,1166,72,48,LH,1200,72,64,44.80173611111111,1200,72,64,1149,72,40,1096,56,16,1166,72,48
1200,72,64,1149,72,40,1096,56,16,1166,72,48,LF,1131,64,32,43.203125,1200,72,64,1149,72,40,1131,64,32,1166,72,48
1200,72,64,1149,72,40,1131,64,32,1166,72,48,LH,1236,88,80,41.201953125,1236,88,80,1149,72,40,1131,64,32,1166,72,48
1236,88,80,1149,72,40,1131,64,32,1166,72,48,RF,1200,72,64,121.20390625,1236,88,80,1149,72,40,1131,64,32,1200,72,64
1236,88,80,1149,72,40,1131,64,32,1200,72,64,RF,1253,88,88,242.80120192307692,1236,88,80,1149,72,40,1131,64,32,1253,88,88
1236,88,80,1149,72,40,1131,64,32,1253,88,88,LF,1166,72,48,241.203125,1236,88,80,1149,72,40,1166,72,48,1253,88,88
1236,88,80,1149,72,40,1166,72,48,1253,88,88,LH,1270,88,96,241.20390625,1270,88,96,1149,72,40,1166,72,48,1253,88,88
1270,88,96,1149,72,40,1166,72,48,1253,88,88,LF,1200,72,64,241.20390625,1270,88,96,1149,72,40,1200,72,64,1253,88,88
1270,88,96,1149,72,40,1200,72,64,1253,88,88,LF,1236,88,80,241.201953125,1270,88,96,1149,72,40,1236,88,80,1253,88,88
